id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1175816999441588224,1175693053706698752,1569171592000,2019-09-22,23:59:52,SE Asia Standard Time,743497759,mahasiswauenyeh,UNY BERGERAK,,"Berikut adalah Rilis Pers, Pernyataan Sikap, Kajian, dan Naskah Akademis lengkap terkait Aksi Gejayan Memanggil, Senin, 23 September 2019. Silakan dibaca dan dicermati!

 http://bit.ly/RakyatBergerak 

Salam, 
Aliansi Rakyat Bergerak
#GejayanMemanggil  pic.twitter.com/10RjuqCJTm",[],['http://bit.ly/RakyatBergerak'],['https://pbs.twimg.com/media/EFFXUelVAAAQc9C.jpg'],1,4,5,['#gejayanmemanggil'],[],https://twitter.com/mahasiswauenyeh/status/1175816999441588224,False,,0,,,,,,,"[{'user_id': '743497759', 'username': 'mahasiswauenyeh'}]",,,,
1175816984648245248,1175816984648245248,1569171589000,2019-09-22,23:59:49,SE Asia Standard Time,1036188167911559170,bangjac20569240,#RIPIndomoCrazy,,#GejayanMemanggil... Mundurjok  https://twitter.com/panjipras8/status/1175280398521262080 …,[],['https://twitter.com/panjipras8/status/1175280398521262080'],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/BangJac20569240/status/1175816984648245248,False,https://twitter.com/panjipras8/status/1175280398521262080,0,,,,,,,"[{'user_id': '1036188167911559170', 'username': 'BangJac20569240'}]",,,,
1175816967426428928,1175816967426428928,1569171585000,2019-09-22,23:59:45,SE Asia Standard Time,1892250583,nastitikp,Nastiti Kawiwara,,Sesok banget #GejayanMemanggil  pic.twitter.com/9dWALWZQwd,[],[],['https://pbs.twimg.com/media/EFFXS41UUAECi1G.jpg'],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/nastitikp/status/1175816967426428928,False,,0,,,,,,,"[{'user_id': '1892250583', 'username': 'nastitikp'}]",,,,
1175816936262758400,1175816936262758400,1569171577000,2019-09-22,23:59:37,SE Asia Standard Time,1095611857149210624,yudhantararcy,Risang Cahya Yudhantara,,"Okey, #GejayanMemanggil ✊",[],[],[],0,1,2,['#gejayanmemanggil'],[],https://twitter.com/yudhantaraRCY/status/1175816936262758400,False,,0,,,,,,,"[{'user_id': '1095611857149210624', 'username': 'yudhantaraRCY'}]",,,,
1175816912548220929,1175816912548220929,1569171572000,2019-09-22,23:59:32,SE Asia Standard Time,1024947633247244288,pmlairne,Pamela Irene,,"Prediksi Keluaran Togel Hongkong Senin 23 September 2019

 http://bit.ly/2kubeRL 
#GejayanMemanggil #BesokSenin #열아홉_라이관린의_가을 #HBD_EdwardLai #EmeryOut",[],['http://bit.ly/2kubeRL'],[],0,0,1,"['#gejayanmemanggil', '#besoksenin', '#열아홉_라이관린의_가을', '#hbd_edwardlai', '#emeryout']",[],https://twitter.com/pmlairne/status/1175816912548220929,False,,0,,,,,,,"[{'user_id': '1024947633247244288', 'username': 'pmlairne'}]",,,,
1175816902540611585,1175811164481044480,1569171569000,2019-09-22,23:59:29,SE Asia Standard Time,1174608290107420673,mahasiswatullen,#DirumahAja,,Boleh bangett boskuh. #BesokSenin #GejayanMemanggil,"['peluruair', 'dpr_ri']",[],[],1,0,0,"['#besoksenin', '#gejayanmemanggil']",[],https://twitter.com/mahasiswatullen/status/1175816902540611585,False,,0,,,,,,,"[{'user_id': '1174608290107420673', 'username': 'mahasiswatullen'}, {'user_id': '398139499', 'username': 'peluruair'}, {'user_id': '211415705', 'username': 'DPR_RI'}]",,,,
1175816863005102080,1175816863005102080,1569171560000,2019-09-22,23:59:20,SE Asia Standard Time,1024947633247244288,pmlairne,Pamela Irene,,"Prediksi Keluaran Togel Singapore Senin 23 September 2019

 http://bit.ly/2mtjzFV 
#GejayanMemanggil #BesokSenin #열아홉_라이관린의_가을 #HBD_EdwardLai #EmeryOut",[],['http://bit.ly/2mtjzFV'],[],0,0,1,"['#gejayanmemanggil', '#besoksenin', '#열아홉_라이관린의_가을', '#hbd_edwardlai', '#emeryout']",[],https://twitter.com/pmlairne/status/1175816863005102080,False,,0,,,,,,,"[{'user_id': '1024947633247244288', 'username': 'pmlairne'}]",,,,
1175816849046376448,1175816849046376448,1569171557000,2019-09-22,23:59:17,SE Asia Standard Time,237967491,cynagfyn,♛ ♛,,"Jangan asal aksi, mahasiswa harus lebih berhati""
Jangan sampai lepas kendali, bisa jadi itu aksi ditunggangi kaum busuk hati
Waspadalah kalo kata bg Napi, jgn terlalu kebawa suasana ya nanti 😅 #GejayanMemanggil #TapiSayaGakIkut #BesokKerja 👋",[],[],[],0,1,0,"['#gejayanmemanggil', '#tapisayagakikut', '#besokkerja']",[],https://twitter.com/cynagfyn/status/1175816849046376448,False,,0,,,,,,,"[{'user_id': '237967491', 'username': 'cynagfyn'}]",,,,
1175816824400707585,1175816824400707585,1569171551000,2019-09-22,23:59:11,SE Asia Standard Time,2318763794,rahmasekar8,N.S.A.K,,"Bangkit ! Tunjukan konteks dasar negara PERSATUAN INDONESIA ! Bersatulah sehingga oranglain tidak dapat masuk untuk memecahbelahkan kita
#GejayanMemanggil",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/rahmasekar8/status/1175816824400707585,False,,0,,,,,,,"[{'user_id': '2318763794', 'username': 'rahmasekar8'}]",,,,
1175816815219372032,1175816815219372032,1569171549000,2019-09-22,23:59:09,SE Asia Standard Time,1024947633247244288,pmlairne,Pamela Irene,,"Prediksi Keluaran Togel Sydney Senin 23 September 2019

 http://bit.ly/2kXDix4 
#GejayanMemanggil #BesokSenin #열아홉_라이관린의_가을 #HBD_EdwardLai #EmeryOut",[],['http://bit.ly/2kXDix4'],[],0,0,1,"['#gejayanmemanggil', '#besoksenin', '#열아홉_라이관린의_가을', '#hbd_edwardlai', '#emeryout']",[],https://twitter.com/pmlairne/status/1175816815219372032,False,,0,,,,,,,"[{'user_id': '1024947633247244288', 'username': 'pmlairne'}]",,,,
1175816801898250241,1175816801898250241,1569171545000,2019-09-22,23:59:05,SE Asia Standard Time,59559756,yosieabdi,yosie abdi,,Tetiba muncul di timeline gegara #GejayanMemanggil. Melu seru..,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/yosieabdi/status/1175816801898250241,False,,0,,,,,,,"[{'user_id': '59559756', 'username': 'yosieabdi'}]",,,,
1175816796273696768,1175816796273696768,1569171544000,2019-09-22,23:59:04,SE Asia Standard Time,2233021141,mdpnl,Denny,,"Maju terus teman ku , saudara ku sebangsa dan setanah air. #GejayanMemanggil",[],[],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/mdpnl/status/1175816796273696768,False,,0,,,,,,,"[{'user_id': '2233021141', 'username': 'mdpnl'}]",,,,
1175816792687538176,1175816792687538176,1569171543000,2019-09-22,23:59:03,SE Asia Standard Time,382434740,beruduuu,stranger,,#GejayanMemanggil besok yang dimalang kumpul dimana jam brpa ?,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/Beruduuu/status/1175816792687538176,False,,0,,,,,,,"[{'user_id': '382434740', 'username': 'Beruduuu'}]",,,,
1175816772785565696,1175816772785565696,1569171538000,2019-09-22,23:58:58,SE Asia Standard Time,64133548,devirakhmawati,Devi Rakhmawati,,Mantapp #GejayanMemanggil  https://twitter.com/im_supermoon/status/1175758550099906560 …,[],['https://twitter.com/im_supermoon/status/1175758550099906560'],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/devirakhmawati/status/1175816772785565696,False,https://twitter.com/im_supermoon/status/1175758550099906560,0,,,,,,,"[{'user_id': '64133548', 'username': 'devirakhmawati'}]",,,,
1175816770042523649,1175816770042523649,1569171538000,2019-09-22,23:58:58,SE Asia Standard Time,1172495521665077249,lolosamen,leigheas-ap,,"Sudah saatnya.
#GejayanMemanggil",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/lolosamen/status/1175816770042523649,False,,0,,,,,,,"[{'user_id': '1172495521665077249', 'username': 'lolosamen'}]",,,,
1175816750417399808,1175816750417399808,1569171533000,2019-09-22,23:58:53,SE Asia Standard Time,426508769,bangnapis,lil shark 🦈,,Gaskeunnnnn #GejayanMemanggil  https://twitter.com/im_supermoon/status/1175758550099906560 …,[],['https://twitter.com/im_supermoon/status/1175758550099906560'],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/bangnapis/status/1175816750417399808,False,https://twitter.com/im_supermoon/status/1175758550099906560,0,,,,,,,"[{'user_id': '426508769', 'username': 'bangnapis'}]",,,,
1175816745203843072,1175816745203843072,1569171532000,2019-09-22,23:58:52,SE Asia Standard Time,2445299551,terminalbet,TerminalBet,,"Setan Merah Kalah Telak Saat Bertandang Ke West Ham Skor 0-2
Link :  https://bit.ly/2m81i0t 
#manchesterunited #manunited #MU #setanmerah #westhamunited #westham #ligainggris #premierleague #열아홉_라이관린의_가을 #BesokSenin #HBD_EdwardLai #GejayanMemanggil #agenjudibola #bandar",[],['https://bit.ly/2m81i0t'],[],0,0,0,"['#manchesterunited', '#manunited', '#mu', '#setanmerah', '#westhamunited', '#westham', '#ligainggris', '#premierleague', '#열아홉_라이관린의_가을', '#besoksenin', '#hbd_edwardlai', '#gejayanmemanggil', '#agenjudibola', '#bandar']",[],https://twitter.com/TerminalBet/status/1175816745203843072,False,,0,,,,,,,"[{'user_id': '2445299551', 'username': 'TerminalBet'}]",,,,
1175816735997382657,1175816735997382657,1569171530000,2019-09-22,23:58:50,SE Asia Standard Time,1287319254,loveyoubeb_,Your Oxygen🍃,,dulu waktu dijogja suka ngakak sendiri kalo lewat sini  #GejayanMemanggil  https://twitter.com/alimaruv/status/1175704005814579201 …,[],['https://twitter.com/alimaruv/status/1175704005814579201'],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/loveyoubeb_/status/1175816735997382657,False,https://twitter.com/alimaruv/status/1175704005814579201,0,,,,,,,"[{'user_id': '1287319254', 'username': 'loveyoubeb_'}]",,,,
1175816673942618112,1175816673942618112,1569171515000,2019-09-22,23:58:35,SE Asia Standard Time,1093828377415364608,rsdhlm_,NomadicMan,,Jangan cuman bokep doang yang bisa menyatukan. #GejayanMemanggil masa kita gak bersatu.,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/rsdhlm_/status/1175816673942618112,False,,0,,,,,,,"[{'user_id': '1093828377415364608', 'username': 'rsdhlm_'}]",,,,
1175816654430670848,1175816654430670848,1569171510000,2019-09-22,23:58:30,SE Asia Standard Time,724769523014856706,_katariski,ℜ𝔦𝔰𝔨𝔦 Sadega,,#GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/_katariski/status/1175816654430670848,False,,0,,,,,,,"[{'user_id': '724769523014856706', 'username': '_katariski'}]",,,,
1175816653952536577,1175816653952536577,1569171510000,2019-09-22,23:58:30,SE Asia Standard Time,518234064,samwan_like_u,Just.Like.U,,"#GejayanMemanggil
#GejayanMemanggil
#GejayanMemanggil  https://twitter.com/kittencatsu/status/1175746060544704513 …",[],['https://twitter.com/kittencatsu/status/1175746060544704513'],[],0,0,0,"['#gejayanmemanggil', '#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/samwan_like_u/status/1175816653952536577,False,https://twitter.com/kittencatsu/status/1175746060544704513,0,,,,,,,"[{'user_id': '518234064', 'username': 'samwan_like_u'}]",,,,
1175816650739744768,1175816650739744768,1569171509000,2019-09-22,23:58:29,SE Asia Standard Time,100780321,iweramadhan,iwe -,,"Dari Iwe, untuk Gejayan, oleh AllYouCanArt

Tapi gajadi diupload :))

#GejayanMemanggil  pic.twitter.com/iBB9PelUba",[],[],['https://pbs.twimg.com/media/EFFW_ILUwAAcw6d.jpg'],1,3,1,['#gejayanmemanggil'],[],https://twitter.com/IweRamadhan/status/1175816650739744768,False,,0,,,,,,,"[{'user_id': '100780321', 'username': 'IweRamadhan'}]",,,,
1175816638970490880,1175815413193560064,1569171507000,2019-09-22,23:58:27,SE Asia Standard Time,79881674,gabyswastika,Gaby Swastika,,"Ini tips dari orang yg hanya bisa memantau dari jauh. Silakan dihiraukan nek bagimu ra penting, but I do wish you all the best, folks. #GejayanMemanggil",[],[],[],0,0,2,['#gejayanmemanggil'],[],https://twitter.com/gabyswastika/status/1175816638970490880,False,,0,,,,,,,"[{'user_id': '79881674', 'username': 'gabyswastika'}]",,,,
1175816637850669056,1175816637850669056,1569171506000,2019-09-22,23:58:26,SE Asia Standard Time,2288251585,nabillagintha,labilla dwi agintha,,panjang umur perjuangan. #GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/Nabillagintha/status/1175816637850669056,False,,0,,,,,,,"[{'user_id': '2288251585', 'username': 'Nabillagintha'}]",,,,
1175816600219312128,1175816600219312128,1569171497000,2019-09-22,23:58:17,SE Asia Standard Time,929155741893591041,expeliarmuse,dprkonan,,"yang besok ikut #
GejayanMemanggil kalo ketemu sama mahasiswa umy namanya asta dan umam tolong salamin ya.
kalo ada nemu mahasiswa ugm namanya andi tolong salamin sambil bilang ""isiin shopee pay nya aud ya."" oke

makasih.",[],[],[],0,0,0,[],[],https://twitter.com/expeliarmuse/status/1175816600219312128,False,,0,,,,,,,"[{'user_id': '929155741893591041', 'username': 'expeliarmuse'}]",,,,
1175816599267266563,1175816599267266563,1569171497000,2019-09-22,23:58:17,SE Asia Standard Time,256345032,gilangrifanda,priya,,"MARI KAWAN BUAT SEMAK JL. GEJAYAN
MARI LANTANGKAN SUARA UNTUK KEBENARAN! AGAR ORASI LANCAR JANGAN LUPA DISANA ADA JUGA LAPAK UNTUK PENGELANCAR CURHAT TAPI BISA DIGUNAKAN AGAR ORASI LANCAR JUGA. MAMPIR UNTUK CEBAN PERTAMA! SELAMATKAN DEMOKRASI KITA #gejayanmemanggil  pic.twitter.com/A6fiSggLk8",[],[],"['https://pbs.twimg.com/media/EFFW9I5U0AIgyi5.jpg', 'https://pbs.twimg.com/media/EFFW9I3UcAArPzl.jpg']",0,1,1,['#gejayanmemanggil'],[],https://twitter.com/gilangrifanda/status/1175816599267266563,False,,0,,,,,,,"[{'user_id': '256345032', 'username': 'gilangrifanda'}]",,,,
1175816597283278848,1175816597283278848,1569171497000,2019-09-22,23:58:17,SE Asia Standard Time,174634431,wilujg,WIW,,#GejayanMemanggil aku dadi eling kosanku.,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/wilujg/status/1175816597283278848,False,,0,,,,,,,"[{'user_id': '174634431', 'username': 'wilujg'}]",,,,
1175816588118724609,1175816588118724609,1569171494000,2019-09-22,23:58:14,SE Asia Standard Time,103529317,tedyab,Gojek(an),,Sehat selalu perlawanan! #GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/tedyAB/status/1175816588118724609,False,,0,,,,,,,"[{'user_id': '103529317', 'username': 'tedyAB'}]",,,,
1175816476814561280,1175816476814561280,1569171468000,2019-09-22,23:57:48,SE Asia Standard Time,126973300,bowielha,Wisnu Wardito Aji,,"#GejayanMemanggil ketika mahasiswa bergerak, untuk saya, saya bergerak karena #kamipercayaperubahan  bukan semata mata karena apatis",[],[],[],0,1,1,"['#gejayanmemanggil', '#kamipercayaperubahan']",[],https://twitter.com/bowielha/status/1175816476814561280,False,,0,,,,,,,"[{'user_id': '126973300', 'username': 'bowielha'}]",,,,
1175816442706423808,1175816442706423808,1569171460000,2019-09-22,23:57:40,SE Asia Standard Time,2535369948,moechamad_erwin,moecha_float ☕,,#GejayanMemanggil #MahasiswaBergerak #SemuaBisaKena pic.twitter.com/tWMaZrOUSJ,[],[],"['https://pbs.twimg.com/media/EFFWzyoUEAAggw2.jpg', 'https://pbs.twimg.com/media/EFFW0NIU8AAOuXr.jpg']",0,0,0,"['#gejayanmemanggil', '#mahasiswabergerak', '#semuabisakena']",[],https://twitter.com/moechamad_erwin/status/1175816442706423808,False,,0,,,,,,,"[{'user_id': '2535369948', 'username': 'moechamad_erwin'}]",,,,
1175816433697210374,1175811442072854528,1569171458000,2019-09-22,23:57:38,SE Asia Standard Time,1087301443948752896,is_mazz_banoee,Josip Broz Tito 4.0,,Doa ini teruntuk bagi kalian yang percaya terhadap Kristus yang besok akan mengikuti aksi tetapi ada halangan yang tidak bisa ditinggal. Semoga Tuhan Yesus Memberkati kalian yang mengikuti aksi besok #GejayanMemanggil,[],[],[],1,0,1,['#gejayanmemanggil'],[],https://twitter.com/Is_Mazz_Banoee/status/1175816433697210374,False,,0,,,,,,,"[{'user_id': '1087301443948752896', 'username': 'Is_Mazz_Banoee'}]",,,,
1175816392790048770,1175815747982856192,1569171448000,2019-09-22,23:57:28,SE Asia Standard Time,2999601222,mr_araditiatama,rvkaldz,,#GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/mr_Araditiatama/status/1175816392790048770,False,,0,,,,,,,"[{'user_id': '2999601222', 'username': 'mr_Araditiatama'}]",,,,
1175816382308438016,1175816382308438016,1569171445000,2019-09-22,23:57:25,SE Asia Standard Time,1123985287552614401,dipasarkembang,bulir jeruk,,"Beragam almamater tak mengenal dari mana, tetap jadi pewaris peradaban. Wahai kalian yg turun kejalan, nyala dan bakar api juangmu untuk negeri. Terakhir, hanya ada satu kata. Lawan!
#GejayanMemanggil",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/dipasarkembang/status/1175816382308438016,False,,0,,,,,,,"[{'user_id': '1123985287552614401', 'username': 'dipasarkembang'}]",,,,
1175816370291924992,1175816370291924992,1569171442000,2019-09-22,23:57:22,SE Asia Standard Time,1143345503624560640,adlzendy,Adella,,"Perkara turun atau tidak, semoga doa kita semua menyertai teman-teman mahasiswa seluruh Indonesia besok.
#GejayanMemanggil
#MahasiswaBergerak",[],[],[],0,3,7,"['#gejayanmemanggil', '#mahasiswabergerak']",[],https://twitter.com/adlzendy/status/1175816370291924992,False,,0,,,,,,,"[{'user_id': '1143345503624560640', 'username': 'adlzendy'}]",,,,
1175816370119823360,1175816370119823360,1569171442000,2019-09-22,23:57:22,SE Asia Standard Time,1149999509977440256,projotamansaru,Mas Projo,,"Btw man temanku #GejayanMemanggil mbesok jan mabu mabu an ya, untuk mengantisipasi ada yg masuk dan membuat kerusuhan.
Tulung kontrol, besok kaliannmenjadi representasi Yogyakarta.
Tulung cah UIN UIN kui ojo do ngawur ehe ehe ehe",[],[],[],4,22,30,['#gejayanmemanggil'],[],https://twitter.com/projotamansaru/status/1175816370119823360,False,,0,,,,,,,"[{'user_id': '1149999509977440256', 'username': 'projotamansaru'}]",,,,
1175816361542443008,1175816361542443008,1569171440000,2019-09-22,23:57:20,SE Asia Standard Time,1652990689,gyrmxsoj88,조규현 Rara,,Gejayan oh gejayan nek mangkat lewat kene  #GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/gyrmxsoj88/status/1175816361542443008,False,,0,,,,,,,"[{'user_id': '1652990689', 'username': 'gyrmxsoj88'}]",,,,
1175816352273063937,1175815853528571905,1569171438000,2019-09-22,23:57:18,SE Asia Standard Time,283003015,indi_wd,diar,,"Menanti twitan ""#GejayanMemanggil dateng giliran orang tua memanggil malah males malesan""",['imanudeen'],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/indi_wd/status/1175816352273063937,False,,0,,,,,,,"[{'user_id': '283003015', 'username': 'indi_wd'}, {'user_id': '1041983644527616000', 'username': 'imanudeen'}]",,,,
1175816320962588672,1175816320962588672,1569171431000,2019-09-22,23:57:11,SE Asia Standard Time,349303915,kotakinformasi,Kotak Informasi,, http://bit.ly/RakyatBergerak  dibaca dulu sebelum turun ke jalan ya kawan #GejayanMemanggil,[],['http://bit.ly/RakyatBergerak'],[],0,1,5,['#gejayanmemanggil'],[],https://twitter.com/kotakinformasi/status/1175816320962588672,False,,0,,,,,,,"[{'user_id': '349303915', 'username': 'kotakinformasi'}]",,,,
1175816306869731328,1175816306869731328,1569171427000,2019-09-22,23:57:07,SE Asia Standard Time,1072553254167371776,ho3tweets,bimo,,merinding cuy mantengin #GejayanMemanggil.,[],[],[],1,0,0,['#gejayanmemanggil'],[],https://twitter.com/ho3tweets/status/1175816306869731328,False,,0,,,,,,,"[{'user_id': '1072553254167371776', 'username': 'ho3tweets'}]",,,,
1175816252998082565,1175816252998082565,1569171414000,2019-09-22,23:56:54,SE Asia Standard Time,482023492,djonarks,Jona,,#GejayanMemanggil  pic.twitter.com/Ijif959SEd,[],[],['https://pbs.twimg.com/media/EFFWpAHVAAIZU47.jpg'],2,0,0,['#gejayanmemanggil'],[],https://twitter.com/djonarks/status/1175816252998082565,False,,0,,,,,,,"[{'user_id': '482023492', 'username': 'djonarks'}]",,,,
1175816224694910976,1175816224694910976,1569171408000,2019-09-22,23:56:48,SE Asia Standard Time,553470604,aimridiculous,Grαααα,,"Jual cendol dawet
#GejayanMemanggil  pic.twitter.com/MyTl8ystvU",[],[],['https://pbs.twimg.com/media/EFFWnrMUwAE584O.jpg'],21,103,243,['#gejayanmemanggil'],[],https://twitter.com/aimridiculous/status/1175816224694910976,False,,0,,,,,,,"[{'user_id': '553470604', 'username': 'aimridiculous'}]",,,,
1175816219636596736,1175816219636596736,1569171407000,2019-09-22,23:56:47,SE Asia Standard Time,2933333221,hardianindras,Gondaling,,#GejayanMemanggil  pic.twitter.com/QsMBuyhSbL,[],[],['https://pbs.twimg.com/media/EFFWlO8U8AE8dWt.jpg'],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/hardianindras/status/1175816219636596736,False,,0,,,,,,,"[{'user_id': '2933333221', 'username': 'hardianindras'}]",,,,
1175816210451058688,1175816210451058688,1569171404000,2019-09-22,23:56:44,SE Asia Standard Time,2666574697,aliefwicaksono_,"Wicaksono, Alief",,"Biar #GejayanMemanggil nggak dikira aksi abal-abal. Nih baca dulu pernyataan sikap, kajian dan naskah akademis:  http://bit.ly/RakyatBergerak ",[],['http://bit.ly/RakyatBergerak'],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/aliefwicaksono_/status/1175816210451058688,False,,0,,,,,,,"[{'user_id': '2666574697', 'username': 'aliefwicaksono_'}]",,,,
1175816181384564736,1175816181384564736,1569171397000,2019-09-22,23:56:37,SE Asia Standard Time,493124313,tiduronline,127.0.0.1,,"Saya yakin #GejayanMemanggil akan menghilangkan label yg kebentuk dalam beberapa tahun ini karena pemilu, tak ada lagi Cebong tak ada lagi Kampret, semua membaur jadi satu pada satu titik temu, Rakyat Indonesia.",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/tiduronline/status/1175816181384564736,False,,0,,,,,,,"[{'user_id': '493124313', 'username': 'tiduronline'}]",,,,
1175816134303440896,1175816134303440896,1569171386000,2019-09-22,23:56:26,SE Asia Standard Time,250526089,roisulumam_,majukabeh,,"Sudah siap klean? 
#GejayanMemanggil  pic.twitter.com/SAar4IRsSN",[],[],['https://pbs.twimg.com/media/EFFWiYyUYAAgfO5.jpg'],0,1,1,['#gejayanmemanggil'],[],https://twitter.com/roisulumam_/status/1175816134303440896,False,,0,,,,,,,"[{'user_id': '250526089', 'username': 'roisulumam_'}]",,,,
1175816125382180864,1175815428792184833,1569171384000,2019-09-22,23:56:24,SE Asia Standard Time,72025259,verdiplnd,Verdiawan Bagaskara,,pada pasang hashtag #GejayanMemanggil sih,['cheeseeburgr'],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/VerdiPlnd/status/1175816125382180864,False,,0,,,,,,,"[{'user_id': '72025259', 'username': 'VerdiPlnd'}, {'user_id': '82023690', 'username': 'cheeseeburgr'}]",,,,
1175816116620259328,1175816116620259328,1569171382000,2019-09-22,23:56:22,SE Asia Standard Time,1023470295531712514,roronoazo0r0,Roronoa Zoro,,"#GejayanMemanggil
Ini gerakan kami mahasiswa jogja, jgn kau susupi gerakan ini dengan kepentingan mu yang menjijikkan itu bangsaatt",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/Roronoazo0r0/status/1175816116620259328,False,,0,,,,,,,"[{'user_id': '1023470295531712514', 'username': 'Roronoazo0r0'}]",,,,
1175816101747277824,1175816101747277824,1569171378000,2019-09-22,23:56:18,SE Asia Standard Time,272861216,ranger_meraah,GTFO DUMBASS,,"""Jgn kau penjarakan ucapanmu, jika kau menghamba pada ketakutan, kita hanya akan memperpanjang barisan perbudakan"" - wiji tukul.

PANJANG UMUR PERLAWANAN!
#GejayanMemanggil",[],[],[],0,2,1,['#gejayanmemanggil'],[],https://twitter.com/Ranger_meraah/status/1175816101747277824,False,,0,,,,,,,"[{'user_id': '272861216', 'username': 'Ranger_meraah'}]",,,,
1175816085360136192,1175795729241006083,1569171375000,2019-09-22,23:56:15,SE Asia Standard Time,802694875292438528,da_kemet,Bagus Darmawan,,"Senangnya bisa ikut, lemes rasanya gk bisa ikutan. Tp lebih parah lg mahasiswa yg gk ikut! ✊ ✊Ayo! #GejayanMemanggil #RakyatBergerak",['em_antasena'],[],[],0,0,0,"['#gejayanmemanggil', '#rakyatbergerak']",[],https://twitter.com/Da_Kemet/status/1175816085360136192,False,,0,,,,,,,"[{'user_id': '802694875292438528', 'username': 'Da_Kemet'}, {'user_id': '874749858980044801', 'username': 'Em_antasena'}]",,,,
1175816082025615360,1175816082025615360,1569171374000,2019-09-22,23:56:14,SE Asia Standard Time,91544981,aulliaas,your last money,,"Everybody: pak bu dosen, Senin kami izin ga berangkat karena #GejayanMemanggil!!! 
Rektor UNY:  https://twitter.com/sutrisna_wibawa/status/1175747249663430656 …",[],['https://twitter.com/sutrisna_wibawa/status/1175747249663430656'],[],0,1,1,['#gejayanmemanggil'],[],https://twitter.com/aulliaas/status/1175816082025615360,False,https://twitter.com/sutrisna_wibawa/status/1175747249663430656,0,,,,,,,"[{'user_id': '91544981', 'username': 'aulliaas'}]",,,,
1175816077873299456,1175816077873299456,1569171373000,2019-09-22,23:56:13,SE Asia Standard Time,367828627,kamtiyono,Kamtiyono,,"#GejayanMemanggil 

Saatnya kita runtuhkan oligarki politik.",[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/kamtiyono/status/1175816077873299456,False,,0,,,,,,,"[{'user_id': '367828627', 'username': 'kamtiyono'}]",,,,
1175816071179198464,1175816071179198464,1569171371000,2019-09-22,23:56:11,SE Asia Standard Time,129878205,surajah,Wawan Surajah,,Disaat yang bersamaan #GejayanMemanggil Dan #gaweanmemanggil,[],[],[],0,0,0,"['#gejayanmemanggil', '#gaweanmemanggil']",[],https://twitter.com/Surajah/status/1175816071179198464,False,,0,,,,,,,"[{'user_id': '129878205', 'username': 'Surajah'}]",,,,
1175816063088390145,1175816063088390145,1569171369000,2019-09-22,23:56:09,SE Asia Standard Time,220309731,couronne08,kak Cor,,Pengen ikut #GejayanMemanggil tapi kok ya kerja,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/couronne08/status/1175816063088390145,False,,0,,,,,,,"[{'user_id': '220309731', 'username': 'couronne08'}]",,,,
1175816035934408704,1175816035934408704,1569171363000,2019-09-22,23:56:03,SE Asia Standard Time,236735593,falindiah,ᴀʟɪɴᴀ,,#GejayanMemanggil  https://twitter.com/fullmoonfolks/status/1175742636054863872 …,[],['https://twitter.com/fullmoonfolks/status/1175742636054863872'],[],0,0,1,['#gejayanmemanggil'],[],https://twitter.com/falindiah/status/1175816035934408704,False,https://twitter.com/fullmoonfolks/status/1175742636054863872,0,,,,,,,"[{'user_id': '236735593', 'username': 'falindiah'}]",,,,
